,FY,Division,Code,Month,MonthNumber,MonthSortKey,FND_CAT,Pillar,Numerator_Hours,Denominator_Hours,Rate
1,2018,200,200,Apr,07--Apr,7,MISSION,OVERHEAD,6,0,0
2,2018,200,200,Aug,11--Aug,11,MISSION,OVERHEAD,7,0,0
3,2018,200,200,Dec,03--Dec,3,MISSION,OVERHEAD,11,0,0
4,2018,200,200,Feb,05--Feb,5,MISSION,OVERHEAD,6,0,0
5,2018,200,200,Jan,04--Jan,4,MISSION,OVERHEAD,3,0,0
6,2018,200,200,Jul,10--Jul,10,MISSION,OVERHEAD,20,0,0
7,2018,200,200,Jun,09--Jun,9,MISSION,OVERHEAD,9,0,0
8,2018,200,200,Mar,06--Mar,6,MISSION,OVERHEAD,11,0,0
9,2018,200,200,May,08--May,8,MISSION,OVERHEAD,5,0,0
10,2018,200,200,Nov,02--Nov,2,MISSION,OVERHEAD,6,0,0
11,2018,200,200,Oct,01--Oct,1,MISSION,OVERHEAD,16,0,0
12,2018,200,200,Sep,12--Sep,12,MISSION,OVERHEAD,6,0,0
13,2018,200,200A,Apr,07--Apr,7,MISSION,CMO,2,0,0
14,2018,200,200A,Apr,07--Apr,7,MISSION,OVERHEAD,37,145,0.255172414
15,2018,200,200A,Aug,11--Aug,11,MISSION,OVERHEAD,4,120,0.033333333
16,2018,200,200A,Dec,03--Dec,3,MISSION,CMO,4,0,0
17,2018,200,200A,Dec,03--Dec,3,MISSION,OVERHEAD,0,104,0
18,2018,200,200A,Feb,05--Feb,5,MISSION,CMO,7,0,0
19,2018,200,200A,Feb,05--Feb,5,MISSION,OVERHEAD,0,138,0
20,2018,200,200A,Jan,04--Jan,4,MISSION,CMO,13,0,0
21,2018,200,200A,Jan,04--Jan,4,MISSION,OVERHEAD,0,152,0
22,2018,200,200A,Jul,10--Jul,10,MISSION,OVERHEAD,8,140,0.057142857
23,2018,200,200A,Jun,09--Jun,9,MISSION,OVERHEAD,6,136,0.044117647
24,2018,200,200A,Mar,06--Mar,6,MISSION,CMO,7,0,0
25,2018,200,200A,Mar,06--Mar,6,MISSION,OVERHEAD,1,164,0.006097561
26,2018,200,200A,May,08--May,8,MISSION,OVERHEAD,10,160,0.0625
27,2018,200,200A,Nov,02--Nov,2,MISSION,CMO,12,0,0
28,2018,200,200A,Nov,02--Nov,2,MISSION,OVERHEAD,0,144,0
29,2018,200,200A,Oct,01--Oct,1,MISSION,CMO,6,0,0
30,2018,200,200A,Oct,01--Oct,1,MISSION,OVERHEAD,2,140,0.014285714
31,2018,200,200A,Sep,12--Sep,12,MISSION,OVERHEAD,8,120,0.066666667
32,2018,200,200A1,Apr,07--Apr,7,MISSION,OVERHEAD,0,107,0
33,2018,200,200A1,Aug,11--Aug,11,MISSION,OVERHEAD,0,151,0
34,2018,200,200A1,Dec,03--Dec,3,MISSION,OVERHEAD,0,144,0
35,2018,200,200A1,Feb,05--Feb,5,MISSION,OVERHEAD,0,152,0
36,2018,200,200A1,Jan,04--Jan,4,MISSION,OVERHEAD,0,136.5,0
37,2018,200,200A1,Jul,10--Jul,10,MISSION,OVERHEAD,0,168,0
38,2018,200,200A1,Jun,09--Jun,9,MISSION,OVERHEAD,0,152,0
39,2018,200,200A1,Mar,06--Mar,6,MISSION,OVERHEAD,0,173,0
40,2018,200,200A1,May,08--May,8,MISSION,OVERHEAD,0,139,0
41,2018,200,200A1,Nov,02--Nov,2,MISSION,OVERHEAD,0,106,0
42,2018,200,200A1,Oct,01--Oct,1,MISSION,OVERHEAD,8,150,0.053333333
43,2018,200,200A1,Sep,12--Sep,12,MISSION,OVERHEAD,8,133,0.060150376
44,2018,200,205A,Apr,07--Apr,7,MISSION,OVERHEAD,130,1363,0.095377843
45,2018,200,205A,Aug,11--Aug,11,MISSION,OVERHEAD,89.5,1363,0.065663977
46,2018,200,205A,Dec,03--Dec,3,MISSION,OVERHEAD,54.5,1257,0.0433572
47,2018,200,205A,Dec,03--Dec,3,REIMB,REIMB,4,0,0
48,2018,200,205A,Feb,05--Feb,5,MISSION,OVERHEAD,122,1248.5,0.097717261
49,2018,200,205A,Jan,04--Jan,4,MISSION,OVERHEAD,87,1263.5,0.068856351
50,2018,200,205A,Jul,10--Jul,10,MISSION,OVERHEAD,73.5,1420.5,0.051742344
51,2018,200,205A,Jun,09--Jun,9,MISSION,OVERHEAD,63,1404.5,0.044855821
52,2018,200,205A,Mar,06--Mar,6,MISSION,OVERHEAD,119.5,1449.5,0.082442221
53,2018,200,205A,May,08--May,8,MISSION,OVERHEAD,133.5,1486,0.089838493
54,2018,200,205A,Nov,02--Nov,2,MISSION,OVERHEAD,68.5,1340.5,0.051100336
55,2018,200,205A,Nov,02--Nov,2,REIMB,REIMB,7.5,0,0
