X,FY,Division,Code,Month,MonthNumber,MonthSortKey,FND_CAT,Pillar
3,2018,200,200,Dec,03--Dec,3,MISSION,OVERHEAD
5,2018,200,200,Jan,04--Jan,4,MISSION,OVERHEAD
7,2018,200,200,Jun,09--Jun,9,MISSION,OVERHEAD
11,2018,200,200,Oct,01--Oct,1,MISSION,OVERHEAD
12,2018,200,200,Sep,12--Sep,12,MISSION,OVERHEAD
19,2018,200,200A,Feb,05--Feb,5,MISSION,OVERHEAD
44,2018,200,205A,Apr,07--Apr,7,MISSION,OVERHEAD
60,2018,200,205B,Dec,03--Dec,3,MISSION,OVERHEAD
62,2018,200,205B,Jan,04--Jan,4,MISSION,OVERHEAD
63,2018,200,205B,Jul,10--Jul,10,MISSION,OVERHEAD
65,2018,200,205B,Mar,06--Mar,6,MISSION,OVERHEAD
78,2018,200,205C,Mar,06--Mar,6,MISSION,OVERHEAD
90,2018,210,210,Mar,06--Mar,6,MISSION,OVERHEAD
91,2018,210,210,May,08--May,8,MISSION,OVERHEAD
92,2018,210,210,Nov,02--Nov,2,MISSION,OVERHEAD
96,2018,210,211,Apr,07--Apr,7,MISSION,OVERHEAD
108,2018,210,211,Jan,04--Jan,4,MISSION,FTS
113,2018,210,211,Jul,10--Jul,10,MISSION,OVERHEAD
120,2018,210,211,Mar,06--Mar,6,MISSION,TSRA
125,2018,210,211,Nov,02--Nov,2,MISSION,FTS
129,2018,210,211,Oct,01--Oct,1,MISSION,FTS
131,2018,210,211,Oct,01--Oct,1,MISSION,TSRA
137,2018,210,212,Apr,07--Apr,7,REIMB,REIMB
142,2018,210,212,Aug,11--Aug,11,REIMB,REIMB
144,2018,210,212,Dec,03--Dec,3,REIMB,REIMB
147,2018,210,212,Jan,04--Jan,4,MISSION,FTS
174,2018,210,213,Jan,04--Jan,4,MISSION,OVERHEAD
177,2018,210,213,Mar,06--Mar,6,MISSION,OVERHEAD
179,2018,210,213,Nov,02--Nov,2,MISSION,OVERHEAD
183,2018,220,220,Apr,07--Apr,7,MISSION,OVERHEAD
185,2018,220,220,Aug,11--Aug,11,MISSION,OVERHEAD
187,2018,220,220,Feb,05--Feb,5,MISSION,OVERHEAD
210,2018,220,221,Jan,04--Jan,4,MISSION,CMO
218,2018,220,221,Jun,09--Jun,9,REIMB,REIMB
221,2018,220,221,Mar,06--Mar,6,MISSION,OVERHEAD
225,2018,220,221,May,08--May,8,MISSION,OVERHEAD
231,2018,220,221,Oct,01--Oct,1,MISSION,OVERHEAD
241,2018,220,222,Aug,11--Aug,11,REIMB,REIMB
245,2018,220,222,Dec,03--Dec,3,REIMB,REIMB
252,2018,220,222,Jul,10--Jul,10,MISSION,CMO
257,2018,220,222,Jun,09--Jun,9,REIMB,REIMB
262,2018,220,222,May,08--May,8,MISSION,CMO
263,2018,220,222,May,08--May,8,MISSION,OVERHEAD
267,2018,220,222,Nov,02--Nov,2,MISSION,OVERHEAD
275,2018,220,222,Sep,12--Sep,12,MISSION,OVERHEAD
277,2018,220,223,Apr,07--Apr,7,MISSION,CMO
281,2018,220,223,Aug,11--Aug,11,MISSION,OVERHEAD
293,2018,220,223,Jul,10--Jul,10,MISSION,OVERHEAD
302,2018,220,223,Nov,02--Nov,2,MISSION,CMO
303,2018,220,223,Nov,02--Nov,2,MISSION,OVERHEAD
313,2018,220,224,Aug,11--Aug,11,MISSION,OVERHEAD
315,2018,220,224,Dec,03--Dec,3,MISSION,CMO
324,2018,220,224,Jan,04--Jan,4,MISSION,FTS
328,2018,220,224,Jul,10--Jul,10,MISSION,CMO
333,2018,220,224,Jun,09--Jun,9,REIMB,REIMB
353,2018,240,240,Apr,07--Apr,7,MISSION,CMO
359,2018,240,240,Feb,05--Feb,5,MISSION,OVERHEAD
361,2018,240,240,Jan,04--Jan,4,MISSION,OVERHEAD
366,2018,240,240,Mar,06--Mar,6,REIMB,REIMB
370,2018,240,240,Oct,01--Oct,1,MISSION,CMO
372,2018,240,240,Sep,12--Sep,12,MISSION,OVERHEAD
387,2018,240,241,Dec,03--Dec,3,REIMB,REIMB
401,2018,240,241,Jul,10--Jul,10,MISSION,OVERHEAD
407,2018,240,241,Jun,09--Jun,9,REIMB,REIMB
408,2018,240,241,Mar,06--Mar,6,MISSION,CMO
429,2018,240,241,Sep,12--Sep,12,MISSION,CMO
431,2018,240,241,Sep,12--Sep,12,MISSION,OVERHEAD
440,2018,240,242,Dec,03--Dec,3,MISSION,OVERHEAD
446,2018,240,242,Jul,10--Jul,10,MISSION,
461,2018,240,242,Nov,02--Nov,2,MISSION,OVERHEAD
465,2018,240,242,Oct,01--Oct,1,MISSION,OVERHEAD
471,2018,240,243,Apr,07--Apr,7,MISSION,CMO
