"","X","FY","Division","Code","Month","MonthNumber","MonthSortKey","FND_CAT","Pillar","Numerator_Hours","Denominator_Hours","Rate"
"4817",4817,2020,280,"287","Dec","03--Dec",3,"MISSION","TSRA",0,76,0
"4417",4417,2020,260,"263","Jan","04--Jan",4,"MISSION","OVERHEAD",19,359,0.052924791
"614",614,2018,250,"252","Dec","03--Dec",3,"MISSION","TSRA",0,317,0
"1852",1852,2019,210,"211","Mar","06--Mar",6,"REIMB","",0,8,0
"633",633,2018,250,"252","Mar","06--Mar",6,"MISSION","CMO",2,207.5,0.009638554
"2135",2135,2019,240,"242","Feb","05--Feb",5,"MISSION","TSRA",88,945.5,0.093072448
"1811",1811,2019,210,"210","Jul","10--Jul",10,"MISSION","OVERHEAD",5,140,0.035714286
"1596",1596,2018,290,"294","Apr","07--Apr",7,"REIMB","REIMB",24,26,0.923076923
"641",641,2018,250,"252","May","08--May",8,"MISSION","TSRA",0,113,0
"2148",2148,2019,240,"242","Jun","09--Jun",9,"MISSION","TSRA",393,1358,0.289396171
"3511",3511,2019,290,"296","Nov","02--Nov",2,"MISSION","TSRA",0,447,0
"3930",3930,2020,240,"243","Apr","07--Apr",7,"MISSION","OVERHEAD",0,1188.5,0
"2858",2858,2019,280,"281","May","08--May",8,"MISSION","OVERHEAD",3.5,361.5,0.009681881
"1442",1442,2018,290,"290","Oct","01--Oct",1,"MISSION","OVERHEAD",0,163,0
"1133",1133,2018,280,"282","Jul","10--Jul",10,"MISSION","",29.5,48,0.614583333
"656",656,2018,250,"253","Apr","07--Apr",7,"MISSION","CMO",31,928,0.033405172
"2010",2010,2019,220,"223","Jul","10--Jul",10,"MISSION","CMO",0,40,0
"4244",4244,2020,250,"255","Jun","09--Jun",9,"REIMB","REIMB",0,9,0
"498",498,2018,240,"243","Jul","10--Jul",10,"MISSION","OVERHEAD",0,380.5,0
"1056",1056,2018,260,"264","Sep","12--Sep",12,"MISSION","FTS",305,804,0.379353234
"4914",4914,2020,290,"292","Aug","11--Aug",11,"REIMB","REIMB",0,48,0
"1627",1627,2018,290,"294","Nov","02--Nov",2,"MISSION","OVERHEAD",0,155,0
"4860",4860,2020,290,"290","May","08--May",8,"MISSION","OVERHEAD",2,155,0.012903226
"2279",2279,2019,250,"251","Mar","06--Mar",6,"MISSION","CMO",0,151,0
"2690",2690,2019,260,"263","Feb","05--Feb",5,"MISSION","FTS",153,667,0.229385307
"658",658,2018,250,"253","Apr","07--Apr",7,"MISSION","OVERHEAD",11.5,239,0.048117155
"4363",4363,2020,260,"262","Jul","10--Jul",10,"MISSION","TSRA",0,78,0
"2234",2234,2019,250,"250","Feb","05--Feb",5,"MISSION","OVERHEAD",0,114,0
"1921",1921,2019,220,"221","Aug","11--Aug",11,"MISSION","CMO",379.5,2580.5,0.147064522
"3318",3318,2019,290,"292","Mar","06--Mar",6,"REIMB","",8,100,0.08
"4736",4736,2020,280,"285","Jun","09--Jun",9,"MISSION","OVERHEAD",6,913.5,0.006568144
"1438",1438,2018,290,"290","Jun","09--Jun",9,"MISSION","OVERHEAD",19,145,0.131034483
"564",564,2018,250,"251","Jan","04--Jan",4,"MISSION","OVERHEAD",0,39,0
"4789",4789,2020,280,"286","Mar","06--Mar",6,"REIMB","",3,0,0
"2367",2367,2019,250,"253","Apr","07--Apr",7,"MISSION","FTS",0,231,0
"85",85,2018,210,"210","Dec","03--Dec",3,"MISSION","OVERHEAD",24,110,0.218181818
"94",94,2018,210,"210","Sep","12--Sep",12,"MISSION","OVERHEAD",0,80,0
"2009",2009,2019,220,"223","Jan","04--Jan",4,"MISSION","OVERHEAD",0,342,0
"1996",1996,2019,220,"222","Sep","12--Sep",12,"MISSION","CMO",254.5,1421,0.179099226
"4155",4155,2020,250,"253","Nov","02--Nov",2,"MISSION","OVERHEAD",12,347.5,0.034532374
"1425",1425,2018,280,"287","Oct","01--Oct",1,"MISSION","TSRA",3.5,179,0.019553073
"442",442,2018,240,"242","Feb","05--Feb",5,"MISSION","TSRA",16,1382.5,0.011573237
